Sample	Group
Sample_1	group1
Sample_2	group1
Sample_3	group2
Sample_4	group1
Sample_5	group1
Sample_6	group1
Sample_7	group1
Sample_8	group2
Sample_9	group2
Sample_10	group2
Sample_11	group2
Sample_12	group1
Sample_13	group1
Sample_14	group1
Sample_15	group2
Sample_16	group2
Sample_17	group1
Sample_18	group1
Sample_19	group1
Sample_20	group1
Sample_21	group1
Sample_22	group1
Sample_23	group2
Sample_24	group1
Sample_25	group1
Sample_26	group1
Sample_27	group1
Sample_28	group1
Sample_29	group2
Sample_30	group1
Sample_31	group1
Sample_32	group1
Sample_33	group1
Sample_34	group2
Sample_35	group1
Sample_36	group2
Sample_37	group1
Sample_38	group1
Sample_39	group1
Sample_40	group1
Sample_41	group1
Sample_42	group2
Sample_43	group1
Sample_44	group2
Sample_45	group1
Sample_46	group2
Sample_47	group1
Sample_48	group1
Sample_49	group2
Sample_50	group1
Sample_51	group1
Sample_52	group2
Sample_53	group2
Sample_54	group1
Sample_55	group1
Sample_56	group1
Sample_57	group1
Sample_58	group2
Sample_59	group2
Sample_60	group1
Sample_61	group1
Sample_62	group2
Sample_63	group2
Sample_64	group1
Sample_65	group1
Sample_66	group1
Sample_67	group1
Sample_68	group1
Sample_69	group1
Sample_70	group1
Sample_71	group2
Sample_72	group2
Sample_73	group2
Sample_74	group2
Sample_75	group1
Sample_76	group1
Sample_77	group1
Sample_78	group2
Sample_79	group1
Sample_80	group1
Sample_81	group2
Sample_82	group2
Sample_83	group2
Sample_84	group1
Sample_85	group2
Sample_86	group2
Sample_87	group1
Sample_88	group1
Sample_89	group1
Sample_90	group1
Sample_91	group2
Sample_92	group2
Sample_93	group1
Sample_94	group1
Sample_95	group1
Sample_96	group2
Sample_97	group1
Sample_98	group1
Sample_99	group2
Sample_100	group1
Sample_101	group2
Sample_102	group2
Sample_103	group2
Sample_104	group1
Sample_105	group2
Sample_106	group1
Sample_107	group1
Sample_108	group1
Sample_109	group1
Sample_110	group1
Sample_111	group2
Sample_112	group1
Sample_113	group2
Sample_114	group1
Sample_115	group1
